ID(ignored),x,y
0,35.0253349,135.7724402
1,35.0252646,135.7740542
2,35.0251767,135.7762858
3,35.0252382,135.7785389
4,35.0223393,135.7722947
5,35.0217594,135.7723161
6,35.0230422,135.7742044
7,35.0218297,135.7743332
8,35.0238209,135.7759207
9,35.0218352,135.7759315
10,35.0219055,135.7785171
11,35.024739,135.7741281
12,35.0228237,135.775952
13,35.0227534,135.775201
14,35.0252311,135.7755014
15,35.0247566,135.7754799
16,35.0219099,135.7753512
17,35.0233684,135.7748791
18,35.0247918,135.7748362
19,35.0235266,135.775437
20,35.0227716,135.7755748
21,35.0245024,135.7746521
22,35.02452,135.7748881
23,35.0247583,135.7746966
24,35.0247671,135.775107
25,35.0245167,135.7750775
26,35.024084,135.7750426
27,35.024095,135.7748549
28,35.0245145,135.7754262
29,35.0244091,135.7754476
30,35.0244135,135.7758017
31,35.0246749,135.7758178
32,35.0239078,135.7748402
33,35.0239122,135.7754142
34,35.0246887,135.7769512
35,35.0243899,135.7769941
36,35.0241879,135.7764899
37,35.0246513,135.7764067
