ID(ignored),x,y
0,139.7023537,35.6618108
1,139.7023966,35.6610611
2,139.7023966,35.6603812
3,139.7025468,35.6595967
4,139.702976,35.6585506
5,139.7029974,35.6617153
6,139.7029974,35.6610876
7,139.7030403,35.6604426
8,139.7031989,35.6597498
9,139.7041859,35.6588781
10,139.7050228,35.6595232
11,139.7042932,35.6612317
12,139.7037997,35.6610051
13,139.7038426,35.6606913
14,139.7030684,35.660043
15,139.703637,35.6601999
16,139.7038731,35.6597989
17,139.7041927,35.6606406
18,139.7046111,35.6607714
19,139.7049169,35.6609327
20,139.7044823,35.6599389
21,139.70489,35.6599999
22,139.7058556,35.6603181
23,139.7054587,35.6600871
24,139.7055928,35.6599128
25,139.7051534,35.6594137
26,139.7044561,35.6585987
27,139.7031096,35.6582543
