ID(ignored),x,y
0,135.759671,35.010662
1,135.7597815,35.0097771
2,135.7597917,35.008681
3,135.759838,35.007209
4,135.7598211,35.0061845
5,135.7598453,35.0049385
6,135.7599532,35.0038972
7,135.7602346,35.0107013
8,135.7602167,35.0098893
9,135.7610214,35.0106846
10,135.7610267,35.0098806
11,135.7610268,35.0086622
12,135.7610912,35.0073792
13,135.7610912,35.0061489
14,135.7610986,35.003741
15,135.7617209,35.0107888
16,135.7617209,35.0098749
17,135.7624075,35.0107712
18,135.7624719,35.0098573
19,135.7625792,35.0085919
20,135.7625148,35.0073792
21,135.7626006,35.0061841
22,135.7626006,35.0050592
23,135.7625577,35.0037234
24,135.7632015,35.0109118
25,135.7632015,35.0098661
26,135.7632873,35.0086007
27,135.7632658,35.0074232
28,135.7633087,35.0061577
29,135.7632658,35.0050153
30,135.7632444,35.0037322
31,135.7639739,35.0108327
32,135.7639954,35.0098749
33,135.7639739,35.0086447
34,135.7639739,35.0073616
35,135.7640383,35.0062192
36,135.7639525,35.0050241
37,135.7639954,35.003741
38,135.7649824,35.0108415
39,135.7649824,35.009831
40,135.764961,35.0086007
41,135.7649395,35.0073177
42,135.7649395,35.006228
43,135.7648537,35.005068
44,135.7649395,35.0037498
45,135.7657549,35.0108679
46,135.7657764,35.0098222
47,135.7656905,35.0086447
48,135.7657549,35.0073792
49,135.7656476,35.0062544
50,135.7656047,35.0051295
51,135.7655618,35.003741
52,135.766463,35.0108415
53,135.7663986,35.0098661
54,135.766463,35.008671
55,135.7664201,35.0074056
56,135.7663557,35.0062104
57,135.7663986,35.0049801
58,135.7663128,35.0036795
